date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
56,1,0,5,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424
56,1,2,5,1,0.75,3.94,1039.0,960,0,0.0,0,0,8.0,0.8865
56,1,0,5,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.8005704920000001
56,1,0,5,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.8005704920000001
56,1,0,5,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.8003819440000001
56,1,0,5,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
56,1,2,5,2,0.75,3.94,1039.0,960,0,0.0,0,0,8.0,0.755166667
56,1,0,5,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478
56,1,0,5,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531
56,1,0,5,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.7504278259999999
56,1,0,5,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.7211269570000001
56,1,0,5,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247
56,1,0,5,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.7070459020000001
56,1,2,5,10,0.65,3.94,1039.0,960,0,0.0,0,0,8.0,0.705916667
56,1,2,5,8,0.75,2.9,1039.0,960,0,0.0,0,0,8.0,0.676666667
56,1,2,5,4,0.75,3.94,1039.0,2160,0,0.0,0,0,18.0,0.593055556
56,1,2,5,7,0.8,2.9,1039.0,960,0,0.0,0,0,8.0,0.5407291670000001
56,1,0,5,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118
56,1,1,5,11,0.7,4.15,1039.0,1440,0,0.0,0,0,12.0,0.436326389
51,1,2,0,4,0.8,4.15,1039.0,6600,0,0.0,0,0,20.0,0.9880246909999999
51,1,2,0,11,0.75,2.9,1039.0,5640,0,0.0,0,0,17.0,0.987880435
51,1,2,0,9,0.8,4.15,1039.0,960,0,0.0,0,0,8.0,0.9562708329999999
51,1,2,0,3,0.75,3.94,1039.0,1560,0,0.0,0,0,8.0,0.945277778
51,1,2,0,1,0.8,3.94,1039.0,960,0,0.0,0,0,8.0,0.9029166670000001
51,1,0,0,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314
51,1,0,0,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.8003229359999999
51,1,0,0,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.8003186440000001
51,1,0,0,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.8003186440000001
51,1,0,0,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.8002372879999999
51,1,0,0,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649
51,1,0,0,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125
51,1,0,0,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125
