date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
30,0,0,4,7,0.75,30.1,627.0,6960,0,3.5,20,1,58.0,0.393548851
10,4,0,2,3,0.8,22.52,1271.0,5400,50,0.0,0,0,57.0,0.800161172
7,4,0,1,1,0.8,26.16,1073.0,10620,75,0.0,0,0,59.0,0.850502311
52,4,1,2,11,0.8,2.9,1039.0,0,960,0.0,0,0,8.0,0.960625
27,4,0,4,1,0.75,26.82,1254.0,6960,65,0.0,0,0,58.0,0.85007069
52,4,0,2,5,0.6,26.82,919.0,7080,23,0.0,0,1,59.0,0.6000406779999999
26,0,0,5,12,0.8,15.26,1065.0,4080,63,0.0,0,0,34.0,0.8004019609999999
55,1,1,5,12,0.8,4.6,1039.0,1080,0,0.0,0,0,9.0,0.868888889
21,4,0,3,1,0.8,22.52,1498.0,0,113,0.0,0,0,57.0,1.000065789
23,4,1,4,2,0.8,3.94,1039.0,2160,0,0.0,0,0,18.0,0.8755555559999999
53,1,0,1,3,0.8,29.4,1156.0,6840,50,0.0,0,0,57.0,0.800333333
4,2,2,5,4,0.8,4.3,1039.0,1200,0,0.0,0,0,10.0,0.989
58,1,0,0,7,0.7,24.26,658.0,6960,0,270.0,45,0,58.0,0.662270115
38,0,2,5,10,0.75,3.94,1039.0,8400,0,0.0,0,0,14.0,0.940701058
55,1,1,5,11,0.8,2.9,1039.0,1200,0,0.0,0,0,10.0,0.927291667
14,1,0,4,10,0.7,21.82,1393.0,5640,30,0.0,0,0,52.0,0.700236601
47,4,0,1,6,0.7,23.41,1180.0,4560,30,0.0,0,1,38.0,0.7002464909999999
8,1,2,1,1,0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.936496212
41,1,2,4,8,0.65,4.15,1039.0,960,0,0.0,0,0,8.0,1.0115625
46,1,0,1,7,0.7,24.26,1639.0,6720,0,0.0,0,0,56.0,0.541517857
52,4,1,2,9,0.75,2.9,1039.0,0,3600,0.0,0,0,15.0,0.841
58,1,0,0,4,0.6,30.1,486.0,6780,30,0.0,0,1,57.0,0.600224189
22,4,0,4,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8
37,3,0,1,6,0.75,18.79,726.0,3360,0,0.0,0,0,33.0,0.7506213540000001
44,0,2,0,3,0.75,3.94,1039.0,1440,0,0.0,0,0,8.0,0.895454545
17,3,0,4,10,0.7,22.52,1002.0,10080,40,0.0,0,0,56.0,0.7000941559999999
40,4,0,3,6,0.8,11.61,972.0,5670,38,0.0,0,0,31.5,0.8002467529999999
47,4,0,1,5,0.65,26.82,1001.0,7080,26,0.0,0,1,59.0,0.6500440679999999
21,4,0,3,3,0.8,22.52,11.0,6840,0,0.0,0,1,57.0,0.536901754
38,0,2,5,2,0.7,3.94,1039.0,15000,0,0.0,0,0,25.0,0.649662222
22,4,0,4,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815
1,1,1,2,8,0.75,4.6,1039.0,3360,0,0.0,0,0,8.0,0.773333333
16,1,0,3,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721
45,0,2,2,5,0.7,4.15,1039.0,2700,0,0.0,0,0,15.0,0.959191919
11,3,2,0,10,0.8,3.94,1039.0,1440,0,0.0,0,0,8.0,0.974621212
41,1,0,4,9,0.75,29.12,1282.0,6960,45,0.0,0,0,58.0,0.7505931029999999
44,0,0,0,2,0.75,22.94,1606.0,10260,94,0.0,0,0,57.0,0.90064806
31,3,0,2,4,0.7,22.52,930.0,10260,63,0.0,0,0,57.0,0.750068049
50,3,2,5,10,0.8,3.94,1039.0,3420,0,0.0,0,0,19.0,0.953110048
24,3,1,3,12,0.8,5.13,1039.0,1200,0,0.0,0,0,10.0,0.9918
17,3,0,4,1,0.8,49.1,1381.0,10350,24,0.0,0,0,57.5,0.403242161
5,3,0,5,11,0.7,11.41,653.0,3480,30,0.0,0,2,58.0,0.7005404409999999
30,0,0,4,5,0.8,30.1,450.0,5700,0,4.5,25,0,60.0,0.307501459
5,3,0,5,3,0.7,30.1,247.0,6960,50,0.0,0,1,58.0,0.700603448
44,0,0,0,12,0.75,15.26,1316.0,6120,40,0.0,0,0,34.0,0.750079323
26,0,0,5,11,0.8,11.61,816.0,2820,50,0.0,0,2,57.0,0.800516667
53,1,0,1,4,0.7,26.66,950.0,6960,50,0.0,0,0,58.0,0.750770115
42,4,0,2,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167
15,4,2,5,11,0.8,4.15,1039.0,900,0,0.0,0,0,5.0,0.5156060610000001
10,4,0,2,4,0.7,30.1,767.0,3300,50,0.0,0,1,57.0,0.7900032359999999
23,4,0,4,3,0.8,22.52,1283.0,6720,88,0.0,0,0,56.0,0.900129762
25,1,0,2,12,0.8,15.26,12261.0,3600,63,0.0,0,0,35.0,0.8004019609999999
45,0,0,2,12,0.7,15.26,1337.0,6120,40,0.0,0,0,34.0,0.70043672
